year,round,grid,positionOrder
2021,19,5,10
2021,19,9,11
2021,19,0,12
2021,19,17,13
2021,19,13,14
2021,19,15,15
2021,19,16,16
2021,19,19,17
2021,19,18,18
2021,19,11,19
2021,19,14,20
2021,20,1,1
2021,20,7,2
2021,20,3,3
2021,20,11,4
2021,20,9,5
2021,20,12,6
2021,20,5,7
2021,20,13,8
2021,20,4,9
2021,20,10,10
2021,20,2,11
2021,20,14,12
2021,20,8,13
2021,20,16,14
2021,20,18,15
2021,20,19,16
2021,20,15,17
2021,20,20,18
2021,20,17,19
2021,20,6,20
2021,21,1,1
2021,21,3,2
2021,21,2,3
2021,21,9,4
2021,21,11,5
2021,21,6,6
2021,21,4,7
2021,21,15,8
2021,21,10,9
2021,21,7,10
2021,21,18,11
2021,21,16,12
2021,21,13,13
2021,21,8,14
2021,21,12,15
2021,21,17,16
2021,21,5,17
2021,21,20,18
2021,21,14,19
2021,21,19,20
2021,22,1,1
2021,22,2,2
2021,22,5,3
2021,22,8,4
2021,22,12,5
2021,22,6,6
2021,22,3,7
2021,22,11,8
2021,22,9,9
2021,22,7,10
2021,22,15,11
2021,22,10,12
2021,22,13,13
2021,22,19,14
2021,22,4,15
2021,22,16,16
2021,22,14,17
2021,22,17,18
2021,22,18,19
2021,22,20,20
2022,1,1,1
2022,1,3,2
2022,1,5,3
2022,1,9,4
2022,1,7,5
2022,1,6,6
2022,1,11,7
2022,1,16,8
2022,1,8,9
2022,1,15,10
2022,1,12,11
2022,1,19,12
2022,1,14,13
2022,1,18,14
2022,1,13,15
2022,1,20,16
2022,1,17,17
2022,1,4,18
2022,1,2,19
2022,1,10,20
2022,2,4,1
2022,2,2,2
2022,2,3,3
2022,2,1,4
2022,2,6,5
2022,2,5,6
2022,2,11,7
2022,2,9,8
2022,2,10,9
2022,2,15,10
2022,2,12,11
2022,2,17,12
2022,2,13,13
2022,2,16,14
2022,2,8,15
2022,2,7,16
2022,2,14,17
2022,2,18,18
2022,2,19,19
2022,2,0,20
2022,3,1,1
2022,3,3,2
2022,3,6,3
2022,3,5,4
2022,3,4,5
2022,3,7,6
2022,3,8,7
2022,3,12,8
2022,3,11,9
2022,3,20,10
2022,3,14,11
2022,3,19,12
2022,3,15,13
2022,3,16,14
2022,3,13,15
2022,3,18,16
2022,3,10,17
2022,3,2,18
2022,3,17,19
2022,3,9,20
2022,4,1,1
2022,4,3,2
2022,4,5,3
2022,4,11,4
2022,4,7,5
2022,4,2,6
2022,4,12,7
2022,4,13,8
2022,4,8,9
2022,4,15,10
2022,4,18,11
2022,4,17,12
2022,4,14,13
2022,4,16,14
2022,4,0,15
2022,4,19,16
2022,4,10,17
2022,4,6,18
2022,4,9,19
2022,4,4,20
2022,5,3,1
2022,5,1,2
2022,5,2,3
2022,5,4,4
2022,5,12,5
2022,5,6,6
2022,5,5,7
2022,5,20,8
2022,5,18,9
2022,5,0,10
2022,5,11,11
2022,5,9,12
2022,5,14,13
2022,5,19,14
2022,5,15,15
2022,5,16,16
2022,5,0,17
2022,5,7,18
2022,5,8,19
2022,5,17,20
2022,6,2,1
2022,6,5,2
2022,6,4,3
2022,6,3,4
2022,6,6,5
2022,6,7,6
2022,6,12,7
2022,6,11,8
2022,6,20,9
2022,6,13,10
2022,6,16,11
2022,6,9,12
2022,6,14,13
2022,6,10,14
2022,6,17,15
2022,6,19,16
2022,6,8,17
2022,6,18,18
2022,6,15,19
2022,6,1,20
2022,7,3,1
2022,7,2,2
2022,7,4,3
2022,7,1,4
2022,7,6,5
2022,7,5,6
2022,7,7,7
2022,7,8,8
2022,7,12,9
2022,7,9,10
2022,7,17,11
2022,7,10,12
2022,7,14,13
2022,7,18,14
2022,7,19,15
2022,7,20,16
2022,7,11,17
2022,7,16,18
2022,7,15,19
2022,7,13,20
2022,8,3,1
2022,8,2,2
2022,8,5,3
2022,8,7,4
2022,8,6,5
2022,8,9,6
2022,8,10,7
2022,8,12,8
2022,8,11,9
2022,8,13,10
2022,8,15,11
2022,8,17,12
2022,8,8,13
2022,8,20,14
2022,8,18,15
2022,8,19,16
2022,8,16,17
2022,8,14,18
2022,8,1,19
2022,8,4,20
2022,9,1,1
2022,9,3,2
2022,9,4,3
2022,9,8,4
2022,9,19,5
2022,9,7,6
2022,9,11,7
2022,9,10,8
2022,9,2,9
2022,9,17,10
2022,9,9,11
2022,9,16,12
2022,9,12,13
2022,9,15,14
2022,9,14,15
2022,9,18,16
2022,9,5,17
2022,9,20,18
2022,9,6,19
2022,9,13,20
2022,10,1,1
2022,10,4,2
2022,10,5,3
2022,10,3,4
2022,10,7,5
2022,10,6,6
2022,10,2,7
2022,10,19,8
2022,10,18,9
2022,10,17,10
2022,10,20,11
2022,10,10,12
2022,10,14,13
2022,10,13,14
2022,10,15,15
2022,10,11,16
2022,10,12,17
2022,10,8,18
2022,10,9,19
2022,10,16,20
2022,11,2,1
2022,11,1,2
2022,11,8,3
2022,11,4,4
2022,11,6,5
2022,11,9,6
2022,11,10,7
2022,11,7,8
2022,11,11,9
2022,11,19,10
2022,11,0,11
2022,11,15,12
2022,11,12,13
2022,11,13,14
2022,11,14,15
2022,11,16,16
2022,11,18,17
2022,11,3,18
2022,11,17,19
2022,11,5,20
2022,12,2,1
2022,12,4,2
2022,12,6,3
2022,12,3,4
2022,12,19,5
2022,12,7,6
2022,12,5,7
2022,12,10,8
2022,12,9,9
2022,12,15,10
2022,12,12,11
2022,12,14,12
2022,12,13,13
2022,12,11,14
2022,12,17,15
2022,12,16,16
2022,12,18,17
2022,12,20,18
2022,12,1,19
2022,12,8,20
2022,13,10,1
2022,13,7,2
2022,13,1,3
2022,13,2,4
2022,13,11,5
2022,13,3,6
2022,13,4,7
2022,13,6,8
2022,13,5,9
2022,13,18,10
2022,13,14,11
2022,13,0,12
2022,13,12,13
2022,13,15,14
2022,13,9,15
2022,13,13,16
2022,13,17,17
2022,13,19,18
2022,13,16,19
2022,13,8,20
2022,14,14,1
2022,14,2,2
2022,14,1,3
2022,14,5,4
2022,14,3,5
2022,14,15,6
2022,14,16,7
2022,14,10,8
2022,14,0,9
2022,14,6,10
2022,14,9,11
2022,14,17,12
2022,14,0,13
2022,14,18,14
2022,14,7,15
2022,14,12,16
2022,14,19,17
2022,14,11,18
2022,14,13,19
2022,14,4,20
2022,15,1,1
2022,15,6,2
2022,15,2,3
2022,15,4,4
2022,15,5,5
2022,15,13,6
2022,15,7,7
2022,15,3,8
2022,15,12,9
2022,15,10,10
2022,15,11,11
2022,15,15,12
2022,15,8,13
2022,15,19,14
2022,15,18,15
2022,15,14,16
2022,15,17,17
2022,15,20,18
2022,15,16,19
2022,15,9,20
2022,16,7,1
2022,16,1,2
2022,16,2,3
2022,16,18,4
2022,16,19,5
2022,16,13,6
2022,16,3,7
2022,16,5,8
2022,16,8,9
2022,16,9,10
2022,16,14,11
2022,16,17,12
2022,16,15,13
2022,16,20,14
2022,16,10,15
2022,16,16,16
2022,16,4,17
2022,16,12,18
2022,16,6,19
2022,16,11,20
2022,17,2,1
2022,17,1,2
2022,17,4,3
2022,17,6,4
2022,17,16,5
2022,17,11,6
2022,17,8,7
2022,17,13,8
2022,17,3,9
2022,17,7,10
2022,17,15,11
2022,17,9,12
2022,17,12,13
2022,17,0,14
2022,17,10,15
2022,17,17,16
2022,17,18,17
2022,17,5,18
2022,17,19,19
2022,17,14,20
2022,18,1,1
2022,18,4,2
2022,18,2,3
2022,18,5,4
2022,18,6,5
2022,18,9,6
2022,18,7,7
2022,18,8,8
2022,18,20,9
2022,18,10,10
2022,18,11,11
2022,18,19,12
2022,18,13,13
2022,18,18,14
2022,18,12,15
2022,18,14,16
2022,18,15,17
2022,18,17,18
2022,18,3,19
2022,18,16,20
2022,19,2,1
2022,19,3,2
2022,19,12,3
2022,19,9,4
2022,19,4,5
2022,19,6,6
2022,19,14,7
2022,19,10,8
2022,19,13,9
2022,19,19,10
2022,19,0,11
2022,19,18,12
2022,19,8,13
2022,19,11,14
2022,19,16,15
2022,19,15,16
2022,19,17,17
2022,19,5,18
2022,19,7,19
2022,19,1,20
2022,20,1,1
2022,20,3,2
2022,20,4,3
2022,20,2,4
2022,20,5,5
2022,20,7,6
2022,20,11,7
2022,20,10,8
2022,20,8,9
2022,20,6,10
2022,20,14,11
2022,20,17,12
2022,20,12,13
2022,20,16,14
2022,20,20,15
2022,20,15,16
2022,20,19,17
2022,20,18,18
2022,20,9,19
2022,20,13,20
2022,21,1,1
2022,21,2,2
2022,21,7,3
2022,21,5,4
2022,21,17,5
2022,21,3,6
2022,21,4,7
2022,21,16,8
2022,21,14,9
2022,21,15,10
2022,21,9,11
2022,21,13,12
2022,21,12,13
2022,21,10,14
2022,21,19,15
2022,21,18,16
2022,21,0,17
2022,21,6,18
2022,21,8,19
2022,21,11,20
2022,22,1,1
2022,22,3,2
2022,22,2,3
2022,22,4,4
2022,22,6,5
2022,22,7,6
2022,22,8,7
2022,22,14,8
2022,22,13,9
2022,22,9,10
2022,22,11,11
2022,22,15,12
2022,22,19,13
2022,22,17,14
2022,22,18,15
2022,22,12,16
2022,22,16,17
2022,22,5,18
2022,22,20,19
2022,22,10,20
2023,1,1,1
2023,1,2,2
2023,1,5,3
2023,1,4,4
2023,1,7,5
2023,1,8,6
2023,1,6,7
2023,1,12,8
2023,1,20,9
2023,1,15,10
2023,1,14,11
2023,1,16,12
2023,1,17,13
2023,1,19,14
2023,1,10,15
2023,1,13,16
2023,1,11,17
2023,1,9,18
2023,1,3,19
2023,1,18,20
2023,2,1,1
2023,2,15,2
2023,2,2,3
2023,2,3,4
2023,2,7,5
2023,2,4,6
2023,2,12,7
2023,2,6,8
2023,2,9,9
2023,2,13,10
2023,2,16,11
2023,2,10,12
2023,2,11,13
2023,2,18,14
2023,2,8,15
2023,2,20,16
2023,2,19,17
2023,2,14,18
2023,2,17,19
2023,2,5,20
2023,3,1,1
2023,3,3,2
2023,3,4,3
2023,3,6,4
2023,3,0,5
2023,3,13,6
2023,3,10,7
2023,3,16,8
2023,3,17,9
2023,3,12,10
2023,3,0,11
2023,3,5,12
2023,3,9,13
2023,3,11,14
2023,3,15,15
2023,3,18,16
2023,3,14,17
2023,3,2,18
2023,3,8,19
2023,3,7,20
2023,4,3,1
2023,4,2,2
2023,4,1,3
2023,4,6,4
2023,4,4,5
2023,4,5,6
2023,4,9,7
2023,4,11,8
2023,4,7,9
2023,4,8,10
2023,4,10,11
2023,4,12,12
2023,4,16,13
2023,4,17,14
2023,4,0,15
2023,4,14,16
2023,4,0,17
2023,4,13,18
2023,4,15,19
2023,4,18,20
2023,5,9,1
2023,5,1,2
2023,5,2,3
2023,5,6,4
2023,5,3,5
2023,5,13,6
2023,5,7,7
2023,5,5,8
2023,5,8,9
2023,5,4,10
2023,5,17,11
2023,5,18,12
2023,5,10,13
2023,5,11,14
2023,5,12,15
2023,5,14,16
2023,5,16,17
2023,5,15,18
2023,5,19,19
2023,5,20,20
2023,6,1,1
2023,6,2,2
2023,6,3,3
2023,6,5,4
2023,6,8,5
2023,6,6,6
2023,6,7,7
2023,6,4,8
2023,6,10,9
2023,6,11,10
2023,6,15,11
2023,6,12,12
2023,6,19,13
2023,6,13,14
2023,6,9,15
2023,6,20,16
2023,6,18,17
2023,6,16,18
2023,6,17,19
2023,6,14,20
2023,7,1,1
2023,7,4,2
2023,7,12,3
2023,7,11,4
2023,7,2,5
2023,7,5,6
2023,7,8,7
2023,7,6,8
2023,7,13,9
2023,7,10,10
2023,7,19,11
2023,7,15,12
2023,7,9,13
2023,7,14,14
2023,7,7,15
2023,7,18,16
2023,7,3,17
2023,7,17,18
2023,7,16,19
2023,7,20,20
2023,8,1,1
2023,8,2,2
2023,8,3,3
2023,8,10,4
2023,8,11,5
2023,8,12,6
2023,8,9,7
2023,8,6,8
2023,8,16,9
2023,8,14,10
2023,8,8,11
2023,8,15,12
2023,8,7,13
2023,8,19,14
2023,8,5,15
2023,8,20,16
2023,8,13,17
2023,8,17,18
2023,8,4,19
2023,8,18,20
2023,9,1,1
2023,9,2,2
2023,9,15,3
2023,9,4,4
2023,9,7,5
2023,9,3,6
2023,9,11,7
2023,9,5,8
2023,9,6,9
2023,9,9,10
2023,9,10,11
2023,9,17,12
2023,9,18,13
2023,9,12,14
2023,9,14,15
2023,9,13,16
2023,9,0,17
2023,9,0,18
2023,9,16,19
2023,9,8,20
2023,10,1,1
2023,10,2,2
2023,10,7,3
2023,10,3,4
2023,10,6,5
2023,10,15,6
2023,10,9,7
2023,10,8,8
2023,10,4,9
2023,10,5,10
2023,10,14,11
2023,10,20,12
2023,10,11,13
2023,10,12,14
2023,10,17,15
2023,10,16,16
2023,10,18,17
2023,10,10,18
2023,10,19,19
2023,10,13,20
2023,11,2,1
2023,11,3,2
2023,11,9,3
2023,11,1,4
2023,11,4,5
2023,11,18,6
2023,11,6,7
2023,11,11,8
2023,11,8,9
2023,11,14,10
2023,11,16,11
2023,11,7,12
2023,11,13,13
2023,11,10,14
2023,11,17,15
2023,11,5,16
2023,11,19,17
2023,11,20,18
2023,11,12,19
2023,11,15,20
2023,12,6,1
2023,12,2,2
2023,12,1,3
2023,12,3,4
2023,12,9,5
2023,12,8,6
2023,12,7,7
2023,12,14,8
2023,12,10,9
2023,12,11,10
2023,12,12,11
2023,12,13,12
2023,12,17,13
2023,12,15,14
2023,12,16,15
2023,12,19,16
2023,12,18,17
2023,12,0,18
2023,12,4,19
2023,12,5,20
2023,13,1,1
2023,13,5,2
2023,13,12,3
2023,13,7,4
2023,13,6,5
2023,13,13,6
2023,13,2,7
2023,13,4,8
2023,13,8,9
2023,13,16,10
2023,13,11,11
2023,13,14,12
2023,13,19,13
2023,13,18,14
2023,13,17,15
2023,13,0,16
2023,13,3,17
2023,13,15,18
2023,13,9,19
2023,13,10,20
2023,14,2,1
2023,14,5,2
2023,14,1,3
2023,14,3,4
2023,14,4,5
2023,14,8,6
2023,14,6,7
2023,14,9,8
2023,14,10,9
2023,14,14,10
2023,14,12,11
2023,14,7,12
2023,14,15,13
2023,14,16,14
2023,14,17,15
2023,14,20,16
2023,14,13,17
2023,14,19,18
2023,14,18,19
2023,14,11,20
2023,15,1,1
2023,15,4,2
2023,15,5,3
2023,15,3,4
2023,15,11,5
2023,15,12,6
2023,15,17,7
2023,15,13,8
2023,15,10,9
2023,15,6,10
2023,15,14,11
2023,15,0,12
2023,15,9,13
2023,15,18,14
2023,15,7,15
2023,15,2,16
2023,15,16,17
2023,15,8,18
2023,15,15,19
2023,15,0,20
2023,16,1,1
2023,16,3,2
2023,16,2,3
2023,16,4,4
2023,16,7,5
2023,16,6,6
2023,16,8,7
2023,16,10,8
2023,16,14,9
2023,16,12,10
2023,16,11,11
2023,16,9,12
2023,16,19,13
2023,16,18,14
2023,16,15,15
2023,16,13,16
2023,16,0,17
2023,16,17,18
2023,16,5,19
2023,16,16,20
2023,17,1,1
2023,17,6,2
2023,17,10,3
2023,17,2,4
2023,17,5,5
2023,17,4,6
2023,17,8,7
2023,17,9,8
2023,17,19,9
2023,17,0,10
2023,17,16,11
2023,17,7,12
2023,17,13,13
2023,17,18,14
2023,17,11,15
2023,17,14,16
2023,17,17,17
2023,17,15,18
2023,17,3,19
2023,17,12,20
2023,18,6,1
2023,18,2,2
2023,18,4,3
2023,18,9,4
2023,18,5,5
2023,18,7,6
2023,18,0,7
2023,18,11,8
2023,18,15,9
2023,18,16,10
2023,18,0,11
2023,18,13,12
2023,18,12,13
2023,18,0,14
2023,18,14,15
2023,18,0,16
2023,18,10,17
2023,18,8,18
2023,18,3,19
2023,18,1,20
2023,19,3,1
2023,19,6,2
2023,19,1,3
2023,19,2,4
2023,19,17,5
2023,19,8,6
2023,19,4,7
2023,19,7,8
2023,19,14,9
2023,19,15,10
2023,19,11,11
2023,19,18,12
2023,19,12,13
2023,19,10,14
2023,19,9,15
2023,19,19,16
2023,19,0,17
2023,19,13,18
2023,19,16,19
2023,19,5,20
2023,20,1,1
2023,20,6,2
2023,20,4,3
2023,20,9,4
2023,20,3,5
2023,20,7,6
2023,20,15,7
2023,20,5,8
2023,20,16,9
2023,20,14,10
2023,20,19,11
2023,20,11,12
2023,20,17,13
2023,20,10,14
2023,20,8,15
2023,20,18,16
2023,20,20,17
2023,20,12,18
2023,20,13,19
2023,20,0,20
2023,21,2,1
2023,21,1,2
2023,21,11,3
2023,21,16,4
2023,21,19,5
2023,21,12,6
2023,21,10,7
2023,21,3,8
2023,21,9,9
2023,21,18,10
2023,21,4,11
2023,21,5,12
2023,21,8,13
2023,21,14,14
2023,21,17,15
2023,21,6,16
2023,21,7,17
2023,21,20,18
2023,21,13,19
2023,21,15,20
2023,22,1,1
2023,22,2,2
2023,22,4,3
2023,22,9,4
2023,22,5,5
2023,22,3,6
2023,22,7,7
2023,22,6,8
2023,22,11,9
2023,22,13,10
2023,22,15,11
2023,22,12,12
2023,22,10,13
2023,22,14,14
2023,22,8,15
2023,22,20,16
2023,22,19,17
2023,22,16,18
2023,22,18,19
2023,22,17,20
